sales_price;area;bedrooms;bathrooms;garage;tax;zip_code;latitude;longitude;subway;botafogo_beach;rio_sul;leme_beach;copacabana_beach;santa_marta
840000.000000;88.000000;2;1;0;1091.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
315000.000000;28.000000;1;1;0;367.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
470000.000000;45.000000;1;1;0;550.000000;22280004;-22.953799;-43.183343;541.727662;1104.409951;727.410344;1721.544894;2166.128312;1205.464486
1300000.000000;96.000000;2;2;1;1050.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
600000.000000;73.000000;2;2;0;530.000000;22270005;-22.955293;-43.194843;695.636884;142.947347;1816.697455;2649.357611;2213.406995;743.740394
1300000.000000;120.000000;3;3;1;1200.000000;22271021;-22.956885;-43.194767;773.393629;306.577087;1797.978342;2581.666890;2052.095072;918.097148
639000.000000;50.000000;2;2;0;800.000000;22250145;-22.940919;-43.177289;1764.822627;2269.069465;1799.053050;2663.450026;3682.584804;1891.365798
900000.000000;75.000000;2;2;1;892.000000;22251040;-22.943846;-43.184099;1108.546748;1541.535238;1633.742986;2632.972799;3265.358286;1122.672907
2390000.000000;228.000000;3;2;2;2700.000000;22280030;-22.952579;-43.186521;211.491658;798.582208;1077.835816;2057.819614;2294.760906;855.224669
1000000.000000;85.000000;2;2;0;739.000000;22270005;-22.955293;-43.194843;695.636884;142.947347;1816.697455;2649.357611;2213.406995;743.740394
345000.000000;22.000000;0;1;0;350.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
1250000.000000;85.000000;2;2;1;1030.000000;22290175;-22.955971;-43.174542;1473.447894;2014.368240;300.345057;983.115959;2212.682543;2124.568993
1530000.000000;113.000000;3;2;2;1664.000000;22271110;-22.953612;-43.189630;133.851455;464.260947;1329.665330;2253.643326;2219.991872;689.842217
2000000.000000;140.000000;4;4;2;20.000000;22251030;-22.945818;-43.186218;826.562298;1233.635900;1557.008195;2574.854378;3044.722749;831.941400
1395000.000000;100.000000;1;1;1;800.000000;22280080;-22.956673;-43.184553;583.267096;1017.658919;753.565785;1632.829422;1838.441297;1292.528988
280000.000000;20.000000;0;1;0;469.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
1210000.000000;88.000000;3;2;1;1000.000000;22290030;-22.952276;-43.182479;625.862460;1210.869181;760.810963;1778.168767;2344.313587;1218.587096
650000.000000;70.000000;2;2;0;530.000000;22280110;-22.956990;-43.182283;784.238052;1251.289290;519.797588;1417.276166;1828.826445;1491.673348
545000.000000;50.000000;1;1;0;480.000000;22290140;-22.952470;-43.175776;1308.958295;1888.082605;535.141477;1391.398353;2504.843213;1885.270298
630000.000000;89.000000;3;1;0;1000.000000;22270010;-22.953634;-43.190684;231.978403;357.278460;1432.593657;2345.406556;2241.325904;632.230720
999000.000000;71.000000;2;1;1;0.000000;22281034;-22.952717;-43.193632;520.964467;171.477452;1750.785487;2658.667724;2428.189773;448.579068
